:START_ID(Keyword),:END_ID(Keyword),:TYPE
放射性治疗,放射治疗,ALIAS_OF
全关节置换术,人工关节置换术,ALIAS_OF
membrane,Membrane,ALIAS_OF
日常生活活动能力,日常活动能力,ALIAS_OF
共价有机框架（COFs）,共价有机框架(COFs),ALIAS_OF
photocatalysis,Photocatalysis,ALIAS_OF
peptide self-assembly,Peptide self-assembly,ALIAS_OF
酶学特征,酶学性质,ALIAS_OF
月球的水冰,月球水冰,ALIAS_OF
蜂窝夹层结构,蜂窝夹层板,ALIAS_OF
激光测距雷达,激光雷达,ALIAS_OF
能源转换和储存,能源存储和转换,ALIAS_OF
树枝状大分子,树枝状分子,ALIAS_OF
极端降水,极端强降水,ALIAS_OF
企业职工,企业员工,ALIAS_OF
细菌耐药性,细菌抗生素耐药性,ALIAS_OF
therapy,Therapy,ALIAS_OF
supramolecular synthon,Supramolecular Synthons,ALIAS_OF
高中数学教育,高中数学,ALIAS_OF
biomaterials,Biomaterials,ALIAS_OF
农业转型,农业生产转型,ALIAS_OF
整体增强可变形卷积网络,可变形卷积网络,ALIAS_OF
charge transfer,Charge Transfer,ALIAS_OF
Pg,PG,ALIAS_OF
皮肤细菌微生物,皮肤微生物,ALIAS_OF
误差状态卡尔曼滤波器,误差状态卡尔曼滤波,ALIAS_OF
文献计量学分析,文献计量分析,ALIAS_OF
粮食生产安全,粮食安全,ALIAS_OF
戊型肝炎,戊型病毒性肝炎,ALIAS_OF
量子纠缠态,量子纠缠,ALIAS_OF
铜纳米粒子,纳米铜粒子,ALIAS_OF
铜合金,铜及铜合金,ALIAS_OF
liposome,Liposome,ALIAS_OF
量子信息学,量子信息,ALIAS_OF
金属有机框架（MOFs）,金属有机框架(MOFs),ALIAS_OF
量子密码学,量子密码,ALIAS_OF
大棚温室,温室大棚,ALIAS_OF
磺酸化反应,磺化反应,ALIAS_OF
Ulam稳定性,Ulam型稳定性,ALIAS_OF
地面试验验证,地面试验,ALIAS_OF
多孔配合聚合物,多孔配位聚合物,ALIAS_OF
枝状分子,树枝状分子,ALIAS_OF
农业财政补贴,农业补贴,ALIAS_OF
食品营养,食品和营养,ALIAS_OF
微电子机械系统(MEMS),微机电系统(MEMS),ALIAS_OF
移动粒子半隐式法,移动粒子半隐式方法,ALIAS_OF
Sirt1,SIRT1,ALIAS_OF
智能生产线,智能制造生产线,ALIAS_OF
鼠李糖乳酪杆菌Probio-M9,鼠李糖乳杆菌Probio-M9,ALIAS_OF
挥发性有机物,挥发性有机化合物,ALIAS_OF
分离试验,分离实验,ALIAS_OF
电气自动化技术,电气自动化,ALIAS_OF
电子信息化技术,电子信息技术,ALIAS_OF
超声影像组学模型,超声影像组学,ALIAS_OF
化疗诱导的周围神经病变,化疗所致周围神经病变,ALIAS_OF
特发性脊柱侧弯,特发性脊柱侧凸,ALIAS_OF
钴基复合物,钴基化合物,ALIAS_OF
抗抑郁药物,抗抑郁药,ALIAS_OF
无机纳米颗粒,无机纳米粒子,ALIAS_OF
运输包装箱,运输包装,ALIAS_OF
产业链数智化,产业数智化,ALIAS_OF
慢性病,慢性疾病,ALIAS_OF
酶级联催化,多酶级联催化,ALIAS_OF
Albert,ALBERT,ALIAS_OF
Pickering乳状液,Pickering乳液,ALIAS_OF
文本量化分析,文本量化,ALIAS_OF
shape memory,Shape memory,ALIAS_OF
肺脾气虚证,肺脾气虚,ALIAS_OF
Mo,BiVO4光阳极: Mo:BiVO4光阳极,ALIAS_OF
无细胞百日咳类疫苗,无细胞百日咳疫苗,ALIAS_OF
超高效液相色谱-质谱,超高效液相色谱-质谱联用,ALIAS_OF
间质性肺炎,间质性肺疾病,ALIAS_OF
空气环境,环境空气,ALIAS_OF
智能感知,感知智能,ALIAS_OF
核壳结构微球,核壳微球,ALIAS_OF
肠-肝轴,肝-肠轴,ALIAS_OF
地区差异,区域差异,ALIAS_OF
生物催化法,生物催化剂,ALIAS_OF
功能性状基因,功能基因,ALIAS_OF
资源化利用,资源利用,ALIAS_OF
实数融合,数实融合,ALIAS_OF
脑缺血再灌注损伤,脑缺血-再灌注损伤,ALIAS_OF
TGF-β1/Smads信号通路,TGF-β/Smad信号通路,ALIAS_OF
选区激光熔化,激光选区熔化,ALIAS_OF
calixarene,Calixarenes,ALIAS_OF
2023诺贝尔生理学或医学奖,2023年诺贝尔生理学或医学奖,ALIAS_OF
目标实时检测,实时目标检测,ALIAS_OF
线上线混合式教学,线上线下混合式教学,ALIAS_OF
aerogels,Aerogel,ALIAS_OF
surfactant,Surfactant,ALIAS_OF
nanomaterials,Nanomaterials,ALIAS_OF
visible light,Visible Light,ALIAS_OF
狂犬疫苗,狂犬病疫苗,ALIAS_OF
糖尿病骨质疏松症,糖尿病性骨质疏松,ALIAS_OF
二维过渡金属硫族化合物,二维过渡金属硫属化合物,ALIAS_OF
突发公共卫生,突发公共卫生事件,ALIAS_OF
liquid crystal polymers,Liquid crystal polymers,ALIAS_OF
药物不良反应,药品不良反应,ALIAS_OF
OPENCV,OpenCV,ALIAS_OF
挥发性有机物(VOCs),挥发性有机化合物(VOC),ALIAS_OF
排水管道,排水管网,ALIAS_OF
临床诊疗,临床诊治,ALIAS_OF
macrocycles,Macrocycles,ALIAS_OF
结构转型,结构转变,ALIAS_OF
密钥封装机制,密钥封装,ALIAS_OF
Rare-earth elements,Rare Earth Elements,ALIAS_OF
餐后2小时血糖,餐后2h血糖,ALIAS_OF
吸入剂,吸入制剂,ALIAS_OF
媒介基础设施,传媒基础设施,ALIAS_OF
"""祝融号""火星车",“祝融号”火星车,ALIAS_OF
供体受体相互作用,供体-受体相互作用,ALIAS_OF
π⋯π stacking,π-π stacking,ALIAS_OF
准分子激光器,准分子激光,ALIAS_OF
严重急性呼吸综合征冠状病毒2型,严重急性呼吸系统综合征冠状病毒2型(SARS-CoV-2),ALIAS_OF
Terpyridines,Terpyridine,ALIAS_OF
中医体质辨识,中医体质辨析,ALIAS_OF
马立克病,马立克氏病,ALIAS_OF
single crystal,Single Crystal,ALIAS_OF
水污染物,水体污染物,ALIAS_OF
现状调查,现况调查,ALIAS_OF
木质纤维素,木质纤维,ALIAS_OF
高质量就业,高质量充分就业,ALIAS_OF
智能联网,智能网联,ALIAS_OF
自抗扰控制器,自抗扰控制,ALIAS_OF
中西医协同治疗,中西医结合治疗,ALIAS_OF
动物领域,动物科学领域,ALIAS_OF
乙肝肝炎,乙型病毒性肝炎,ALIAS_OF
Host-guest interaction,Host-Guest interaction,ALIAS_OF
超声波检测,超声检查,ALIAS_OF
猪胸膜肺炎放线杆菌,猪传染性胸膜肺炎放线杆菌,ALIAS_OF
结构组装,组装结构,ALIAS_OF
co-crystal hydrate,Co-crystal hydrate,ALIAS_OF
Canny边缘检测算法,Canny边缘检测算子,ALIAS_OF
photothermal therapy,Photothermal Therapy,ALIAS_OF
microfluidics,Microfluidics,ALIAS_OF
protein folding,Protein folding,ALIAS_OF
集成电路工艺原理,集成电路工艺,ALIAS_OF
Dirichlet边界值问题,Dirichlet边值问题,ALIAS_OF
vaccine,Vaccines,ALIAS_OF
气相色谱质谱法,气相色谱-质谱法,ALIAS_OF
“机器论片段”,机器论片段,ALIAS_OF
混动汽车,混合动力汽车,ALIAS_OF
photoisomerization,Photoisomerization,ALIAS_OF
计算机辅助设计技术,计算机辅助设计,ALIAS_OF
protein structures,protein structure,ALIAS_OF
coordination polymer,Coordination polymer,ALIAS_OF
消化道肿瘤,消化系统恶性肿瘤,ALIAS_OF
预训练对话模型,生成式预训练对话模型,ALIAS_OF
第二代测序技术,二代测序技术,ALIAS_OF
Photothermal therapy,Photothermal Therapy,ALIAS_OF
Shear force,Shear Force,ALIAS_OF
Cucurbit[10]uril,cucurbit[10]uril,ALIAS_OF
体积分子排阻高效液相色谱法,体积排阻高效液相色谱,ALIAS_OF
静态随机存取存储器,静态随机存储器,ALIAS_OF
基因特性,基因特征,ALIAS_OF
呼吸道合胞病毒,人呼吸道合胞病毒,ALIAS_OF
宏基因组学二代测序技术,宏基因组二代测序,ALIAS_OF
消化道癌,消化道癌症,ALIAS_OF
yolov5s,YOLOv5s,ALIAS_OF
中医治未病,中医“治未病”,ALIAS_OF
玻璃转变温度,玻璃化转变温度,ALIAS_OF
主要心脑血管不良事件,主要不良心脑血管事件,ALIAS_OF
过继细胞治疗,过继性细胞治疗,ALIAS_OF
DNA分子瓦,DNA亚分子瓦,ALIAS_OF
生成式人工智能技术,生成式人工智能,ALIAS_OF
APP,App,ALIAS_OF
图像识别系统,图像识别技术,ALIAS_OF
深空探索,深空探测,ALIAS_OF
技术领域异质性,技术异质性,ALIAS_OF
lanthanides,Lanthanides,ALIAS_OF
甲酸制氢,甲酸分解制氢,ALIAS_OF
免疫缺陷病,免疫缺陷疾病,ALIAS_OF
疫苗免疫,免疫疫苗,ALIAS_OF
牛呼吸疾病,牛呼吸道疾病,ALIAS_OF
媒介生物传染病,媒介传染病,ALIAS_OF
呼吸系统疾病,呼吸道疾病,ALIAS_OF
化疗相关认知障碍,化学治疗相关认知障碍,ALIAS_OF
植物乳植杆菌,植物乳杆菌,ALIAS_OF
肿瘤相关型巨噬细胞,肿瘤相关巨噬细胞,ALIAS_OF
产业链环节,产业链,ALIAS_OF
猪肺炎支原体,猪支原体肺炎,ALIAS_OF
骨质疏松症,骨质疏松,ALIAS_OF
鲁棒性优化,鲁棒优化,ALIAS_OF
cell association,Cell Association,ALIAS_OF
3-二油氧基丙基三-甲基氯化铵,3-二油氧基丙基-三甲基氯化铵,ALIAS_OF
任务特点,任务特征,ALIAS_OF
胰岛素样生长因子1,胰岛素样生长因子-1,ALIAS_OF
人文科学,人文社会科学,ALIAS_OF
C（sp3）–H键活化,C-H键活化,ALIAS_OF
互联网+医疗健康,互联网+医疗,ALIAS_OF
微生物—肠—脑轴,微生物-肠-脑轴,ALIAS_OF
编解码器,编码器-解码器,ALIAS_OF
类ChatGPT模型,类ChatGPT大模型,ALIAS_OF
炭疽菌,炭疽杆菌,ALIAS_OF
慢性持续期哮喘,哮喘慢性持续期,ALIAS_OF
Logistic回归模型,Logistic回归,ALIAS_OF
图像重构技术,图像重建技术,ALIAS_OF
Molecular assembly,Molecular Assembly,ALIAS_OF
漂浮式光催化剂,漂浮型光催化剂,ALIAS_OF
疾病绝灭,疾病灭绝,ALIAS_OF
异型铜带,自动化生产线: 异型铜带:自动化生产线,ALIAS_OF
网络舆论治理,网络舆情治理,ALIAS_OF
智能护理机器人,护理机器人,ALIAS_OF
急性髓系白血病,急性髓性白血病,ALIAS_OF
免疫相关不良反应,免疫治疗相关不良反应,ALIAS_OF
压缩映像原理,压缩影像原理,ALIAS_OF
能源潜力,能源化潜力,ALIAS_OF
肾脏病,肾脏疾病,ALIAS_OF
畜禽养殖业,畜禽养殖,ALIAS_OF
化学合成药品,化学原料药,ALIAS_OF
病例交叉研究,病例交叉分析,ALIAS_OF
半导体激光,半导体激光器,ALIAS_OF
天问一号火星探测器,“天问一号”火星探测器,ALIAS_OF
meta整合,Meta整合,ALIAS_OF
蛋白替代疗法,蛋白质替代疗法,ALIAS_OF
先天性免疫,先天免疫,ALIAS_OF
电子给体-受体,电子供体-受体,ALIAS_OF
Host-guest,Host-Guest,ALIAS_OF
肉芽肿性小叶乳腺炎,肉芽肿性乳腺炎,ALIAS_OF
分子间相互作用力,分子间作用力,ALIAS_OF
植物微生物互作,植物–微生物互作,ALIAS_OF
植物大遗存,植物遗存,ALIAS_OF
玻色—爱因斯坦凝聚,玻色-爱因斯坦凝聚,ALIAS_OF
微电子机械系统,微机电系统,ALIAS_OF
TNF-α/NF-κB通路,TNF-α/NF-κB信号通路,ALIAS_OF
阿尔兹海默病(AD),阿尔茨海默病(AD),ALIAS_OF
电催化还原CO2,电催化CO2还原,ALIAS_OF
Hydrophobic Effect,hydrophobic effect,ALIAS_OF
营销策略,营销战略,ALIAS_OF
特征相似性,特征相似度,ALIAS_OF
空间分布,空间位置分布,ALIAS_OF
美国国立综合癌症网络,美国国家综合癌症网络,ALIAS_OF
无人机航拍图像,无人机航拍,ALIAS_OF
含氯有机污染物,含氯挥发性有机物,ALIAS_OF
分子工程学,分子工程,ALIAS_OF
共轭系统,共轭体系,ALIAS_OF
脂质过氧化作用,脂质过氧化,ALIAS_OF
技术特性,技术特征,ALIAS_OF
抗生素相关腹泻,抗生素相关性腹泻,ALIAS_OF
GPT类技术,GPT技术,ALIAS_OF
疾病预测预警,疾病监测与预警,ALIAS_OF
胰岛素分泌细胞,胰岛分泌细胞,ALIAS_OF
强降雨,强降水,ALIAS_OF
红细胞分布宽度,红细胞体积分布宽度,ALIAS_OF
经皮冠状动脉介入术,经皮冠状动脉介入治疗,ALIAS_OF
双向长短期记忆模型,双向长短时记忆模型,ALIAS_OF
多元信息融合,多源信息融合,ALIAS_OF
bilayer,Bilayer,ALIAS_OF
BAG3 1,BAG3,ALIAS_OF
金黄色葡萄菌,金黄色葡萄球菌,ALIAS_OF
乙肝疫苗,乙型肝炎疫苗,ALIAS_OF
SEqEIR模型,SEIQR模型,ALIAS_OF
small-angle neutron scattering (SANS),Small-angle neutron scattering (SANS),ALIAS_OF
集成微系统,微系统集成,ALIAS_OF
模糊PID控制器,模糊PID控制,ALIAS_OF
量子通信技术,量子通信,ALIAS_OF
中西医诊治,中西医治疗,ALIAS_OF
传染性胰腺坏死病,传染性胰脏坏死病,ALIAS_OF
电化学有机合成,有机电化学合成,ALIAS_OF
消化系统肿瘤,消化系统恶性肿瘤,ALIAS_OF
老年性聋,老年性耳聋,ALIAS_OF
无级变速箱,无级变速器,ALIAS_OF
器件建模,元器件建模,ALIAS_OF
基因组选择,全基因组选择,ALIAS_OF
医学高校,医学院校,ALIAS_OF
灯盏花乙素,灯盏乙素,ALIAS_OF
奥沙利铂致周围神经病变,奥沙利铂周围神经病变,ALIAS_OF
Chatgpt,ChatGPT,ALIAS_OF
猪腹泻相关病毒,猪流行性腹泻病毒,ALIAS_OF
冠脉痉挛,冠状动脉痉挛,ALIAS_OF
joinpoint回归分析,Joinpoint回归分析,ALIAS_OF
审慎性监管,审慎监管,ALIAS_OF
通用学术英语写作,学术英语写作,ALIAS_OF
13价肺炎链球菌多糖结合疫苗,13价肺炎球菌多糖结合疫苗,ALIAS_OF
optical properties,Optical Properties,ALIAS_OF
氮还原反应,氮气还原反应,ALIAS_OF
co-crystal,Co-Crystal,ALIAS_OF
智能化无人机,智能无人机,ALIAS_OF
少儿编程培训,少儿编程,ALIAS_OF
行星人字齿轮,人字行星齿轮,ALIAS_OF
多肽偶联药物,多肽-药物偶联物,ALIAS_OF
ILC2s,ILC2,ALIAS_OF
振动模型,振动信号模型,ALIAS_OF
确定性深度策略梯度算法,深度确定性策略梯度算法,ALIAS_OF
YOLOv7-tiny,YOLOv7-Tiny,ALIAS_OF
试验验证,实验验证,ALIAS_OF
Molecular dynamics simulations,molecular dynamics simulation,ALIAS_OF
肺炎球菌性,肺炎球菌,ALIAS_OF
集成电路制造工艺,集成电路制造,ALIAS_OF
pn结,PN结,ALIAS_OF
人工智能生成内容技术,人工智能生成内容,ALIAS_OF
皮肤病,皮肤疾病,ALIAS_OF
蜡染技艺,蜡染工艺,ALIAS_OF
冠状动脉粥样硬化性心脏病,冠心病,ALIAS_OF
扫描隧道显微技术,扫描隧道显微镜,ALIAS_OF
大语言模型(LLMs),大型语言模型(LLM),ALIAS_OF
设计优化,优化设计,ALIAS_OF
受试者工作特征曲线,受试者工作操作特征曲线,ALIAS_OF
自动化决策,商业自动化决策,ALIAS_OF
层析分析法(AHP),层次分析法(AHP),ALIAS_OF
Johnson-Cook模型,Johnson-Cook本构模型,ALIAS_OF
出口技术复杂度,产品出口技术复杂度,ALIAS_OF
时间数字转换器,数字时间转换器,ALIAS_OF
分子自组装膜,分子自组装单层膜,ALIAS_OF
蒙特卡洛模拟方法,蒙特卡洛模拟,ALIAS_OF
农作物副产物,农业副产物,ALIAS_OF
血尿素氮,尿素氮,ALIAS_OF
两电子氧还原反应,2电子氧还原反应,ALIAS_OF
受体结构域,受体结合结构域,ALIAS_OF
中医药理疗法,中医药疗法,ALIAS_OF
宏基因组学测序技术,宏基因组测序技术,ALIAS_OF
性能评估指标,性能指标,ALIAS_OF
Krasnosel'skiis不动点定理,Guo-Krasnoselskii不动点定理,ALIAS_OF
膳食风险评估,膳食暴露风险评估,ALIAS_OF
Luminescence,luminescence,ALIAS_OF
营养膳食,膳食营养,ALIAS_OF
红外线热成像,热红外成像,ALIAS_OF
肿瘤靶向性,肿瘤靶向,ALIAS_OF
卓越工程师教育培养,卓越工程师培养,ALIAS_OF
珠江三角洲地区,珠三角地区,ALIAS_OF
服务流程优化,业务流程优化,ALIAS_OF
慢性阻塞性肺气肿,慢性阻塞性肺疾病,ALIAS_OF
光热耦合催化,光热催化,ALIAS_OF
宫颈肿瘤,子宫颈肿瘤,ALIAS_OF
Riccati矩阵方程,Riccati方程,ALIAS_OF
道路表面缺陷检测,道路缺陷检测,ALIAS_OF
新能源电动汽车,新能源汽车,ALIAS_OF
金属–有机骨架材料,金属-有机骨架材料,ALIAS_OF
髋关节置换术,人工全髋关节置换术,ALIAS_OF
地面实验,地面试验,ALIAS_OF
癌性复发恐惧感,癌症复发恐惧,ALIAS_OF
过继细胞疗法,过继性细胞治疗,ALIAS_OF
成簇的规则间隔短回文重复序列,CRISPR,ALIAS_OF
scanning tunnelling microscopy,Scanning Tunneling Microscopy,ALIAS_OF
Molecular,dynamics: Molecular: dynamics,ALIAS_OF
随机捕食-食饵系统,随机捕食-食饵模型,ALIAS_OF
安全可信,可信安全,ALIAS_OF
Langmuir-blodgett film,Langmuir-Blodgett film,ALIAS_OF
Macromolecular assemblies,Macromolecular assembly,ALIAS_OF
糖尿病视网膜病变,糖尿病性视网膜病变,ALIAS_OF
运动心肺试验,心肺运动试验,ALIAS_OF
葡萄糖基转移酶,葡糖基转移酶,ALIAS_OF
抗凝药物,抗凝药,ALIAS_OF
放射疗法,放射治疗,ALIAS_OF
抗病毒药物,抗病毒药,ALIAS_OF
3-二羟基丙酮,二羟基丙酮,ALIAS_OF
偏向性技术进步,偏向型技术进步,ALIAS_OF
数字供应链,供应链数字化,ALIAS_OF
射频微机电系统,射频微机电,ALIAS_OF
激光诱导击穿光谱技术,激光诱导击穿光谱,ALIAS_OF
合作创新,创新合作,ALIAS_OF
安全评估,安全性评估,ALIAS_OF
慢性肾衰,慢性肾功能衰竭,ALIAS_OF
量子密钥分配,量子密钥分发,ALIAS_OF
分子间相互作用,分子间作用力,ALIAS_OF
人机界面,人机交互界面,ALIAS_OF
椭圆算法,椭圆算子,ALIAS_OF
微波集成电路,单片微波集成电路,ALIAS_OF
logistic回归,Logistic回归,ALIAS_OF
档案资源开发,档案信息资源开发,ALIAS_OF
等离子喷涂,等离子体喷涂,ALIAS_OF
Krasnoselskii不动点定理,Guo-Krasnoselskii不动点定理,ALIAS_OF
ratiometric dual emission,Ratiometric Dual Emission,ALIAS_OF
光催化还原CO2,光催化CO2还原,ALIAS_OF
神经科学哲学,神经哲学,ALIAS_OF
组织病理图像分析,病理图像分析,ALIAS_OF
原发性骨质疏松症,原发性骨质疏松,ALIAS_OF
B/Victoria系流感病毒,B-Victoria系流感病毒,ALIAS_OF
先天免疫系统,先天免疫,ALIAS_OF
个性化综合护理,个体化综合护理,ALIAS_OF
机器人控制系统,机器人控制,ALIAS_OF
有机多孔聚合物,多孔有机聚合物,ALIAS_OF
碳基非金属催化剂,碳基催化剂,ALIAS_OF
食饵-捕食模型,捕食者-食饵模型,ALIAS_OF
enzyme,Enzyme,ALIAS_OF
模拟电子技术实验,模拟电子技术与实践,ALIAS_OF
宏基因组学第二代测序技术,宏基因组二代测序,ALIAS_OF
芯片级封装,芯片封装,ALIAS_OF
微生物群落多样性,微生物多样性,ALIAS_OF
流固耦合,流-固耦合,ALIAS_OF
层状双金属氢氧化物,层状双氢氧化物,ALIAS_OF
氧分子活化,分子氧活化,ALIAS_OF
reactive oxygen species,Reactive oxygen species,ALIAS_OF
图形表征,图式表征,ALIAS_OF
Akkermansia.Muciniphila,Akkermansia muciniphila,ALIAS_OF
超分子高分子化学,超分子化学,ALIAS_OF
人乳头瘤病毒human papilloma virus,人乳头瘤病毒(Human papillomavirus),ALIAS_OF
单核细胞与高密度脂蛋白胆固醇比值,单核细胞/高密度脂蛋白胆固醇比值,ALIAS_OF
天体力学,轨道确定: 天体力学:轨道确定,ALIAS_OF
Fermat型方程,Fermat方程,ALIAS_OF
结石成分分析,结石成分,ALIAS_OF
化工制药废水,化学制药废水,ALIAS_OF
功率循环试验,功率循环测试,ALIAS_OF
钢铁生产企业,钢铁企业,ALIAS_OF
偶极环加成,3-偶极环加成,ALIAS_OF
“技术-经济”范式,技术—经济范式,ALIAS_OF
Gabor滤波器,Gabor滤波,ALIAS_OF
肿瘤耐药性,肿瘤耐药,ALIAS_OF
生物发酵法,微生物发酵法,ALIAS_OF
泛函积分微分方程,泛函微分方程,ALIAS_OF
木质纤维生物质,木质纤维,ALIAS_OF
Molecular dynamic,molecular dynamics,ALIAS_OF
炎症性肠道疾病,炎症性肠病,ALIAS_OF
reaction mechanisms,Reaction mechanism,ALIAS_OF
靶向基因,基因靶向,ALIAS_OF
量子信息论,量子信息,ALIAS_OF
机器人手术器械,手术机器人,ALIAS_OF
多重慢病,多重慢性病,ALIAS_OF
智能生成内容,智能内容生成,ALIAS_OF
光催化有机合成,光催化合成,ALIAS_OF
单细胞测序分析技术,单细胞测序技术,ALIAS_OF
跨境电子商务,跨境电商,ALIAS_OF
火星空间环境,火星环境,ALIAS_OF
物理信息神经网络(PINNs),物理信息神经网络(PINN),ALIAS_OF
量子调控,量子态调控,ALIAS_OF
概念系统,概念体系,ALIAS_OF
survival,Survival,ALIAS_OF
慢性呼吸系统疾病,慢性下呼吸道疾病,ALIAS_OF
graphene oxide membranes,Graphene oxide,ALIAS_OF
副猪革拉瑟菌,副猪格拉瑟菌,ALIAS_OF
生成式语言模型,生成式大语言模型,ALIAS_OF
人机智能协作,人机协同智能,ALIAS_OF
寡核苷酸合成技术,寡核苷酸合成,ALIAS_OF
分布特点,分布特征,ALIAS_OF
supra­molecular assembly,Supramolecular assembly,ALIAS_OF
Bert,BERT,ALIAS_OF
α-氨基酸酯基转移酶,α-氨基酸酯酰基转移酶,ALIAS_OF
intrinsically disordered proteins,Intrinsically disordered proteins,ALIAS_OF
比较基因组,比较基因组学,ALIAS_OF
比较基因组分析,比较基因组学,ALIAS_OF
厚膜集成电路,厚膜混合集成电路,ALIAS_OF
有机化工合成,有机化学合成,ALIAS_OF
Coiled-coil,coiled-coil,ALIAS_OF
朴素贝叶斯分类器,朴素贝叶斯分类,ALIAS_OF
气候演变,气候演化,ALIAS_OF
甘油三酯葡萄糖指数,甘油三酯-葡萄糖乘积指数,ALIAS_OF
孟德尔随机化分析,孟德尔随机化,ALIAS_OF
16s r RNA,16S rRNA,ALIAS_OF
灰度投影,灰度值投影,ALIAS_OF
深度学习算法框架,深度学习框架,ALIAS_OF
耐腐蚀性,抗腐蚀性,ALIAS_OF
三维集成系统,三维集成,ALIAS_OF
气阴两虚证,气阴两虚,ALIAS_OF
Maxent模型,MaxEnt模型,ALIAS_OF
纳米铜颗粒,纳米铜粒子,ALIAS_OF
抗菌药耐药,抗微生物药物耐药性,ALIAS_OF
